Nomor_Aplikasi|NIK|NPWP|Jenis_Debitur|Nama_Debitur|Jangka_Waktu|Interest_Rate|Plafon_Kredit
L000001Q7WX132740|9128115952514151|898311839111157|B|PT OtoCORP TOPH132740|006|01175|000000120000000
L000001HCJ5132740|7121118115174571|158119914139615|B|PT OtoCORP ZTTV132740|006|01175|000000140000000
L000001IROU132740|1111117171282548|221626111111164|B|PT OtoCORP BVZD132740|006|01175|000000140000000
L000001HCVG132740|7579156611111757|216211153111841|B|PT OtoCORP NUEY132740|006|01175|000000140000000
L000001HIF5132740|5891121117166143|693811474349168|B|PT OtoCORP ATPD132740|006|01175|000000140000000
L0000013L3R132740|1454554459261131|951191378613132|B|PT OtoCORP TJAQ132740|006|01175|000000130000000
L000001GVOA132740|5742121758743491|111793162111837|B|PT OtoCORP TVYY132740|006|01175|000000190000000
L00000144XB132740|4613148193156143|259111813197296|B|PT OtoCORP SLLH132740|006|01175|000000190000000
L000001J8BO132740|1275531897721559|113618114333859|B|PT OtoCORP VIHG132740|006|01175|000000140000000
L000001Y3KR132740|1141614817878654|115112111132132|B|PT OtoCORP OVNJ132740|006|01175|000000140000000
L0000013OYN132740|7674627111748365|251191171419261|B|PT OtoCORP IXSW132740|006|01175|000000130000000
L000001LWAV132740|6515211514442112|344714116811597|B|PT OtoCORP NYXD132740|006|01175|000000190000000
L000001N59U132740|4715111921316151|142378643322239|B|PT OtoCORP TLUE132740|006|01175|000000140000000
L000001I8UT132740|1182624416811318|214111114151114|B|PT OtoCORP NFWG132740|006|01175|000000120000000
L000001HDFR132740|9442818215974816|923419345911511|B|PT OtoCORP ONPO132740|006|01175|000000110000000
L000001U5FI132740|1111512611817219|192118312411614|B|PT OtoCORP QGSZ132740|006|01175|000000140000000
L0000017NUX132740|1157381241541999|723911113641117|B|PT OtoCORP MOFX132740|006|01175|000000110000000
L000001PHUK132740|9281941155142124|169913161244191|B|PT OtoCORP CCVH132740|006|01175|000000170000000
L000001F4XY132740|1614511116143196|192495253388151|B|PT OtoCORP ZFEW132740|006|01175|000000140000000
L000001ZRNL132740|1833631818414118|913118411123719|B|PT OtoCORP BABZ132740|006|01175|000000150000000
L000001E4BE132740|1315411141117611|476263474133127|B|PT OtoCORP KISO132740|006|01175|000000140000000
L000001YIBU132740|1111259317631252|915321117161116|B|PT OtoCORP TDTM132740|006|01175|000000190000000
L000001CRKP132740|5311611791468568|651111861141931|B|PT OtoCORP OMGX132740|006|01175|000000180000000
L000001CFHK132740|4648418236461877|821512441114414|B|PT OtoCORP GXKX132740|006|01175|000000130000000
L000001UE2O132740|6519741191118625|191155229781418|B|PT OtoCORP KDQE132740|006|01175|000000130000000
L000001XN21132740|9442919124331111|411811111411681|B|PT OtoCORP GNCM132740|006|01175|000000160000000
